id_ramal;empresa;linea;ramal;desclinearamal;fin_ida;fin_vuelta;text_recorrido
11;1;110;UNICO;NULL;Juan Pablo II y Cisnero ;Génova y Acevedo ; IDA: Desde Génova y Acevedo, por Acevedo, J.B. Justo, Tarragona, Ayala Gauna, Colombres, J. B. Justo, paso bajo a nivel de Av. Circunvalación, J.B. Justo, Av. Provincias Unidas, Av. Génova, M. Gallini, José Ingenieros, Bv. Avellaneda, Junín, Caseros, Pje. Escalada, Av. del Valle, Av. Ovidio Lagos, San Lorenzo, Laprida, Cochabamba, Sarmiento, Bv. 27 de Febrero, Balcarce, Gálvez, Rodríguez, Av. Jorge Cura, Av. Ovidio Lagos, Bv. Segui, Río de Janeiro, Camino de la Broca, Bv. Segui, Av. Rouillón, Aborígenes Argentinos, Juan Pablo II hasta Cisnero (rotonda). VUELTA: Desde Juan Pablo II y Cisnero (rotonda), por Juan Pablo II, Aborígenes Argentinos, Av. Rouillón, Bv. Segui, Camino de la Broca, Valparaíso, Bv. Segui, Bv. Avellaneda, Biedma, Av. Ovidio Lagos, Amenábar, Pueyrredón, Virasoro, Corrientes, Ocampo, Maipú, Santa Fe, Mitre, Urquiza, Callao, Av. del Valle, Pje. Escalada, Av. Caseros, Ing. Thedy, Vélez Sarsfield, Bv. Avellaneda, Av. Génova, Av. Provincias Unidas, (S-N), J. B. Justo, Venezuela, Schweitzer, Colombres, Ayala Gauna, González del Solar, Génova hasta Acevedo .-<br> <br><ul><li>Trasbordo gratuito con la línea 125 Nodo de transbordo: Sector de Av. Rouillón y calle Juan XXIIFuncionamiento: todos los días durante las 24 horas</li></ul>
;;;;;;;
12;3;112;NEGRO;112N;Battle y Ordóñez y Ov. Lagos;Ayala Gauna y Tarragona; IDA: Desde Ayala Gauna y Tarragona, por Ayala Gauna, Colombres, J.B. Justo, Méjico, Vélez Sarsfield, Av. Provincias Unidas, Junín, Av. Alberdi, E. Bordabehere, Constitución, Tucumán, Dorrego, San Lorenzo, Laprida, Bv. 27 de Febrero, San Martín, Rueda, España, J. Canals, Dorrego, Uriburu, Bv. Oroño, J. Gutiérrez, Santiago, O.V. Andrade, Av. Ovidio Lagos, Av. Ntra. Sra. del Rosario, Colectora Juan Pablo II, Avellaneda,  Av. Arijón, Pje 2012, Calle 2019, Bv. Avellaneda, Batlle y Ordóñez, Av. Ovidio Lagos, José M. Rosa (Colectora de Av. Circunvalación), Curapaligüe, Batlle y Ordóñez hasta Ovidio Lagos. VUELTA: Desde Av. Batlle y Ordóñez y Av. Ovidio Lagos, por Batlle y Ordóñez,  Avellaneda, Calle 2019, Calle 2020, Riachuelo, Pje 2012, Arijón,  Avellaneda, Lamadrid, Cafferata, Aurora, Av. Ov. Lagos, Lamadrid, Pueyrredón, Av. Uriburu, Italia, Amenábar, Av. San Martín, Primera Junta, Maipú, Santa Fe, Moreno, Catamarca, San Nicolás, Bordabehere, Av. Alberdi, Canning, Vélez Sarsfield, Formosa, Junín, Av. Provincias Unidas, Vélez Sarsfield, Nicaragua, J.B. Justo, Venezuela, Schweitzer, Colombres, M. Estrada, Tarragona hasta Ayala Gauna.<br></br> TRANSBORDO GRATUITO:<ul><li> En el nodo ubicado en Av. Francia y Aurora: (vereda Este)Con la línea 127 (todos los días, las 24 hs)</li><li> En el nodo ubicado en Av. Ntra. Sra. Del Rosario y Av. Francia: (vereda Norte)Con la línea 127 (de lunes a viernes, de 7 a 21 hs.) </li><li> En el nodo ubicado en Batlle y Ordóñez y Av. Ovidio Lagos:Con las líneas 127, 131, 132 y Ronda CUR-SUR (todos los días, las 24 hs)</li>
;;;;;;;
13;3;112;ROJO;112R;Battle y Ordóñez y Ov. Lagos;Ayala Gauna y Tarragona; IDA: Desde Ayala Gauna y Tarragona, por Ayala Gauna, Colombres, J. B. Justo, Méjico, Vélez Sarsfield, Av. Provincias. Unidas, Junín, República Dominicana, Humberto 1º, Cangallo, Harding, Albert Sabin, Av. Alberdi, E. Bordabehere, Constitución, Tucumán, Sarmiento, Av. Pellegrini, Laprida, Bv. 27 de Febrero, Sarmiento, Rueda, España, J. Canals, Dorrego, Uriburu, Bv. Oroño, Gutiérrez, Santiago, O. V. Andrade, Av. Ov. Lagos, Av. Ntra. Sra. del Rosario, Juan Pablo II (Colectora Av. De Circunvalación), Bv. Avellaneda  hasta Av. Arijó. 
;;;;;;;
14;2;113;UNICO;113;Av. Salvador Allende y Nansen;Complejo Habitacional de Grandoli y Gutierrez ; IDA: Desde Grandoli y J. M. Gutiérrez, por J. M. Gutiérrez, Pavón, Av. Uriburu, 1º de Mayo, Bv. Segui, Av. San Martín, Amenábar, Maipú, Rueda, Mitre, Gálvez, Moreno, Bv. 27 de Febrero, Av. Francia, Av. Pte. Perón, Iriondo, San Luis, Vera Mújica, Santa Fe, San Nicolás, Tucumán, Av. Francia (S-N), paso sobre el nivel de Pje. Escalada (puente), Av. Francia (S-N), Vélez Sarsfield, Bv. Avellaneda, Av. Génova, Ferreyra, Av. De los Trabajadores, Av. Salvador Allende hasta Nansen. VUELTA: Desde Av. Salvador Allende y. Nansen por Nansen, Víctor Mercante, Av. Génova, Av. Alberdi, Casilda, Bv. Avellaneda (S-N), Junín, Av. Francia (N-S), Urquiza, Cafferata, Av. Pte. Perón, Av. Ov. Lagos, Bv. 27 de Febrero, Balcarce, Virasoro, Sarmiento, Uruguay-Ayolas, J. M. de Rosas, Av. Uriburu, Grandoli hasta J. M. Gutiérrez.
;;;;;;;
15;3;115;UNICO;115C;Ciudad Universitaria;Wilde y Eva Perón; IDA: Desde Azcuénaga y Bv. Wilde, por Azcuénaga, Sarratea, J. J. Paso, Tarragona, Ayala Gauna, Colombres, J.J. Paso, Donado, Chassaing, Colombres, Av. Eva Perón - Córdoba, Balcarce, San Luis, Alem, Montevideo, Colón, Cerrito, Berutti hasta Riobamba.  VUELTA: Desde Berutti y Riobamba, por Riobamba, Necochea, E. Zeballos, Maipú, Santa Fe, Córdoba-Eva Perón, Donado, Schweitzer, J. B. Justo, Ayala Gauna, Tarragona, J.J. Paso, Sarratea, Azcuénaga, Bv. Wilde (Norte-Sur), rotonda de Av. Eva Perón, Bv. Wilde (Sur-Norte) hasta Azcuénaga.
;;;;;;;
