id_ramal;empresa;linea;ramal;desclinearamal;fin_ida;fin_vuelta;text_recorrido
28;1;129;UNICO;129;Urquiza y Magallanes;Winter y Cipolletti; IDA: Desde Urquiza y Magallanes, por Magallanes, Tucumán, Solís, Junín, C. Aldao, J.J. Paso, Olavarría, Av. Génova, M. Gallini, Av. A. Sabin, J. Ingenieros, Bv. Avellaneda, Gorriti, Falucho, Junín, Av. Caseros, Pje. Escalada, Av. Aristóbulo del Valle, Av. Rivadavia, Balcarce, Salta, Entre Ríos, Gaboto, M. Rodríguez, Av. Jorge Cura, Av. O. Lagos, Av. Acevedo, Crespo, Mosconi, Bv. Avellaneda, Winter hasta Cipolletti. VUELTA: Desde Winter y Cipolletti, por Winter, Nahuel Huapi, Mosconi, Crespo, Av. Acevedo, Av. O. Lagos, Av. Jorge Cura, Bv. Oroño, Amenábar, Corrientes, Jujuy, Moreno, Av. Brigadier López, Vélez Sarsfield, Bv. Avellaneda,  Av. Génova, Olavarría, J.J. Paso, C. Aldao, Gorriti, Matienzo, Junín, Solís, Urquiza hasta Magallanes.
;;;;;;;
29;1;130;UNICO;130;Municipalidad;Winter y Cipolletti; IDA: Desde Winter y Cipolletti, por Winter, Nahuel Huapi, Gral. Mosconi, Crespo, Fgta. Sarmiento, Ov. Lagos, Av. Uriburu, Bv. Oroño, R. O. Uruguay, Italia, San Lorenzo, Laprida hasta San Juan. VUELTA: Desde Laprida y San Juan, por San Juan, Dorrego, Saavedra, Bv. Oroño, Av. Uriburu, Av. Francia, Fragata Sarmiento, Crespo, Mosconi, Avellaneda, Winter hasta Cipolletti.
;;;;;;;
30;3;131;UNICO;131;Ciudad Universitaria;Av. Ovidio Lagos y Copacabana; IDA: Desde Ovidio Lagos y Copacabana, por Copacabana (E-O), San Juan de Luz, Antigua calle a Soldini, Ovidio Lagos, Bv. 27 de Febrero, Paraguay, Gálvez, Pte. Roca, San Luis, J. M. de Rosas, 9 de Julio, Colón, Cerrito, Berutti, Riobamba hasta Esmeralda. VUELTA: Desde Riobamba y Esmeralda, por Riobamba, Necochea, Av. de la Libertad, San Juan, España, Bv. 27 de Febrero, Omar Carrasco (ex Ricchieri), Ocampo, Ovidio Lagos hasta Copacabana.
;;;;;;;
31;3;132;UNICO;132;Ciudad Universitaria;Bv. Avellaneda y Calle 2121; IDA: Desde Bv. Avellaneda y Calle 2121, por Calle 2121, Calle 2106 (ex Camino Barnett), Dr. F. Ruiz, Ovidio Lagos, Bv. 27 de Febrero, Paraguay, Gálvez, Pte. Roca, San Luis, J.M. de Rosas, 9 de Julio, Colón, Cerrito, Berutti, Riobamba hasta Esmeralda. VUELTA: Desde Riobamba y Esmeralda, por Riobamba, Necochea, Av. de la Libertad, San Juan, España, Bv. 27 de Febrero, Carrasco, Ocampo, Ovidio Lagos, Batlle y Ordoñez, Calle 2106 (ex Camino Barnett), Camino Nuevo a Soldini, Bv. Avellaneda hasta Calle 2121. 
;;;;;;;
32;2;133;NEGRO;133N;Funes;Cereseto y Juan Pablo II; IDA: Ingreso al Municipio de Rosario desde el Municipio de Funes, por Ruta Nacional Nº 9 -, Av. Eva Perón (O-E), Ugarteche, Parravicini, Álvarez Condarco, Av. Eva Perón - Córdoba, Alvear, San Lorenzo, Laprida, San Luis, Alem, Gaboto, J.M. de Rosas, Av. Uriburu, Av. O. Lagos, Av. Arijón, Cereseto, Giaccone, Trejo y Sanabria, Batle y Ordoñez, Juan Pablo II hasta Cereseto. VUELTA: Desde Juan Pablo II y Cereseto, por Cereseto, Arijón, Av. O. Lagos, Av. Uriburu, 1º de Mayo, Bv. Segui, Ayacucho, Ayolas, Ayacucho, E. Zeballos, 1º de Mayo, Rioja, Maipú, Santa Fe, Av. Eva Perón, Álvarez Condarco, Parravicini, Ugarteche, O. Higgins, Alvarez Condarco (S-N), Av. Eva Perón (E-O)- egreso del Municipio de Rosario, por Ruta Nacional Nº 9, hacia el Municipio de Funes.
;;;;;;;
33;2;133;VERDE;133V;Wilde y Mendoza;Cereseto y Juan Pablo II; IDA: Desde Av. Mendoza y Bv. Wilde, por Bv. Wilde, A. Magaldi, Urizar, Bernheim, Bv. Wilde, Benegas, Friuli, Av. Eva Perón-Córdoba, Alvear, San Lorenzo, Laprida, San Luis, Alem, Gaboto, J.M. de Rosas, Av. Uriburu, Av. O. Lagos, Av. Arijón, Cereseto, Giaccone, Trejo y Sanabria, Batle y Ordoñez, Juan Pablo II hasta Cereseto. VUELTA: Desde Juan Pablo II y Cereseto, por Cereseto, Arijón,  Av. O. Lagos, Av. Uriburu, 1º de Mayo, Bv. Segui, Ayacucho, Ayolas, Ayacucho, E. Zeballos, 1º de Mayo, Rioja, Maipú, Santa Fe, Av. Eva Perón, Muniagurria, Micheletti, Tarragona, Navarro, Bv. Wilde, Bernheim, Urizar, A. Magaldi, Bv. Wilde hasta Av. Mendoza.
;;;;;;;
34;2;134;UNICO;134;Pueyrredón y Av. Arijón;Junín y Monteagudo; IDA: Desde Junín y Monteagudo, por Junín, Av. Francia (N-S), Túnel C. Escalada, Av. del Valle, Rodríguez, Brown, España, Salta, Paraguay, Tucumán, Entre Ríos, Pasco, Sarmiento, Bv. Seguí, España, Av. Uriburu, Av. O. Lagos, Av. Arijón, Callao, Ombú, Pueyrredón hasta Av. Arijón. VUELTA: Desde Pueyrredón y Arijón, por Arijón, Corrientes, Lamadrid, Mitre, Gutiérrez, Corrientes, Jujuy, Moreno, Güemes, Av. Francia (S-N), V. Sarsfield, Monteagudo hasta Junín.
;;;;;;;
35;2;135;UNICO;135;Arijón y Pueyrredón;Junín y Monteagudo; IDA: Desde Junín y Monteagudo, por Junín, Av. Francia (N-S), Túnel Celedonio Escalada, Av. del Valle, Rodríguez, Brown, España, Salta, Paraguay, Tucumán, Entre Ríos, Pasco, Sarmiento, Saavedra, Entre Ríos, Estado de Israel, Paraguay, Esteban de Luca, Av. San Martín, Av. Ntra. Sra. del Rosario, Entre Ríos, Av. Arijón hasta Pueyrredón. VUELTA: Desde Av. Arijón y Pueyrredón, por Pueyrredón, Andrade, Ovidio Lagos, Av. Uriburu, Pte. Roca, Bv. Segui, Mitre, Gálvez, Corrientes, Jujuy, Moreno, Güemes, Av. Francia (S-N), V. Sarsfield, Monteagudo hasta Junín.
;;;;;;;
36;2;136;UNICO;136;Santa Fe y San Nicolás;Oroño y Battle y Ordóñez; IDA: Desde Bv. Oroño y Batlle y Ordoñez, por Batlle y Ordoñez, España, Khantuta, Paraguay, Batlle y Ordoñez, Laprida, Patricios, Buenos Aires, Batlle y Ordoñez, Salvá, Sánchez de Bustamante, Buenos Aires, 3 de Febrero, Mitre, Urquiza, Italia, Catamarca, Cafferata, Santa Fe hasta San Nicolás. VUELTA: Desde Santa Fe y San Nicolás, por San Nicolás, Tucumán, España, San Luis, Laprida, Bv. Segui, Moreno, Saavedra, Bv. Oroño hasta Batlle y Ordoñez.
;;;;;;;
37;2;137;UNICO;137;Santa Fe y San Nicolás;Oroño y Battle y Ordóñez; IDA: Desde Batlle y Ordoñez y Bv. Oroño, por Bv. Oroño, Bv. Segui, Buenos Aires, 3 de Febrero, Mitre, Urquiza, Italia, Catamarca, Cafferata, Santa Fe hasta San Nicolás. VUELTA: Desde Santa Fe y San Nicolás, por San Nicolás, Tucumán, España, San Luis, Laprida-Directorio, Anchorena, Laprida, Av. Arijón, Leiva, Muñoz, Av. Bermúdez, Patricios, Buenos Aires,  Batlle y Ordoñez, Paraguay, Khantuta, España, Batlle y Ordoñez hasta Bv. Oroño.
;;;;;;;
38;3;138;UNICO;138;3 de Febrero y Paraná;Battle y Ordóñez y Oroño; IDA: Desde Av. B. y Ordóñez y Bv. Oroño, por Av. B. y Ordoñez, Moreno, Khantuta, Melian, Av. B. y Ordóñez, Italia, Madre Cabrini, Bv. Oroño, Lamadrid, Dorrego, Av. Arijón, San Martín, 1° Junta, Bv. 27 de Febrero, Buenos Aires, Av. Pellegrini, Maipú, San Juan, Av. Francia, Santa Fe, Cafferata, Rioja, Sucre, 3 de Febrero hasta Paraná. VUELTA: Desde Paraná y 3 de Febrero por Paraná, 9 de Julio, Carriego, San Luis, Laprida, Av. Pellegrini, J.M. de Rosas, Bv. 27 de Febrero, Av. San Martín, Av. Arijón, Italia, Lamadrid, Balcarce, Cazadores, Dorrego, Av. B. y Ordóñez, Melian, Pje 507, Moreno, Av. B. y Ordóñez, Bv. Oroño, Colectora Juan Pablo II, Santiago, Av.  B. y Ordóñez hasta Bv. Oroño.Funcionamiento: Lunes a Viernes de 06:00 a 21:00 horas.
;;;;;;;
40;3;139;UNICO;139;3 de Febrero y Paraná;Battle y Ordóñez y Oroño; IDA: Desde Av. B. y Ordóñez y Bv. Oroño, por Av. B. y Ordóñez, Moreno, Khantuta, Melian, Av. B. y Ordóñez, Italia, Madre Cabrini, Bv. Oroño, Lamadrid, Dorrego, Av. Arijón, Av. San Martín, 1° Junta, Bv. 27 de Febrero, Buenos Aires, Av. Pellegrini, Maipú, San Juan, Av. Francia, Santa Fe, Cafferata, Rioja, Sucre, 3 de Febrero hasta Paraná. VUELTA: Desde  Paraná y 3 de Febrero, por Paraná, 9 de Julio, Carriego, San Luis, Laprida, Av. Pellegrini, J. M. De Rosas, Bv. 27 de Febrero, Av. San Martín, Av. Ntra. Sra. del Rosario, Italia, Lamadrid, Balcarce, Cazadores, Dorrego, Av. B. y Ordóñez, Melian, Pje 507, Moreno, Av. B. y Ordóñez, Bv. Oroño, Colectora Juan Pablo II, Santiago, Av. B. y Ordóñez hasta Bv. Oroño. Funcionamiento: Lunes a Viernes de 06:00 a 21:00 horas.
;;;;;;;
43;3;140;UNICO;140;Paraná y 9 de Julio ;Clavel y Hortensia; IDA: Desde Clavel y Hortensia, por Hortensia, Flor de Nácar, 5 de Agosto, España, Ceibo, San Martín, Amenábar, Maipú, Rueda, Mitre, Pasco, Maipú, Santa Fe, Santiago, 3 de Febrero, Paraná hasta 9 de Julio.<br> VUELTA: Desde Paraná y 9 de Julio, por 9 de Julio, Valparaíso, Montevideo, Bv. Avellaneda, 9 de Julio, Alvear, San Lorenzo, Laprida, Cochabamba, Sarmiento, Uruguay, San Martín, Ceibo, España, 5 de Agosto, Flor Nacar, Estrella Federal, Clavel hasta Hortensia.<br><br>Funcionamiento: Días de lunes a domingos /horario entre: 05:00 a 21:00 hs.-<ul><li>Recorrido de seguridad :<br> IDA: Desde Clavel y Hortensia, por Hortensia, Flor de Nácar, 5 de Agosto, España, Ceibo, San Martín, Amenábar, Maipú, Rueda, Mitre, Pasco, Maipú, Santa Fe, Santiago, 3 de Febrero, Paraná, Montevideo, Gutenberg hasta Av. Pellegrini. VUELTA: Desde Av. Pellegrini y Gutenberg, por Av. Pellegrini, Carriego, 9 de Julio, Valparaíso, Montevideo, Bv. Avellaneda, 9 de Julio, Alvear, San Lorenzo, Laprida, Cochabamba, Sarmiento, Uruguay, San Martín, Ceibo, España, 5 de Agosto, Flor Nacar, Estrella Federal, Clavel hasta Hortensia.</li></ul>Funcionamiento: Días de lunes a domingos /horario entre: 21:00 hs. a  05:00.-
;;;;;;;
44;3;141;UNICO;141;Ntra. Sra. del Rosario y Lituana;Bolivia y Schweitzer; IDA: Desde Lituania y Av. del Rosario, por Av. Ntra. .Sra. del Rosario, Cepeda, Anchorena, Buenos Aires, O. V. Andrade, Mitre, Urquiza, Lavalle, Bordabehere, Valparaíso, Urquiza, Carriego, Bordabehere, Decretada, Santa Fe, C. Aldao, Urquiza, Solís, Junín, Av. Provincias Unidas, Schweitzer, Pje. 1474, Pje Shork (ex Pje. 1435), Bolivia hasta Schweitzer. VUELTA: Desde Schweitzer y Bolivia, por Bolivia, J.B. Justo, Av. Provincias Unidas, Junín, Solís, Tucumán, Teñente Agneta, Urquiza, Larrea, Av. Eva Perón, Paraná, San Lorenzo, Cafferata, Córdoba, Suipacha, San Luis, Entre Ríos, Esteban de Luca, Sarmiento, Lamadrid, Pedernera, Av. Ntra. Sra. del Rosario hasta Lituania.
;;;;;;;
45;1;142;NEGRO;142N;Funes;Villa Gobernador Gálvez; IDA: Desde el Municipio de Funes, ingreso a Rosario por calle Miglierini, Calasanz - Av. Mendoza, Lavalle, Córdoba, Balcarce, San Luis, Laprida, Rueda, Av. San Martín, Av. Arijón, Lituania, Av. Ntra. Sra. del Rosario hasta Frig. Swift y hacia el Municipio de Villa Gobernador Gálvez.- VUELTA: Egreso desde el Municipio de Villa Gobernador Gálvez, ingreso a Rosario por el Frig. Swift, Av. Ntra. Sra. del Rosario, Lituania, Av. Arijón, Andes, Sánchez de Bustamante, Av. San Martín, 1ª Junta, Maipú, Santa Fe, Alsina, San Juan, Av.  Mendoza (E-O) - Calasanz, Siunda, Berhein, Ing. Miglierini hacia el Municipio de Funes.
;;;;;;;
46;1;142;ROJO;142R;Peirano y Castro;Villa Gobernador Gálvez; Horario: 05:00 a 23:00 hs. IDA: Desde el Municipio de Villa Gobernador Gálvez  ingreso a Rosario por, Av. Ntra. Sra. del Rosario, Lituania, Av. Arijón, Andes, Sánchez de Bustamante, Av. San Martín, 1ª Junta, Maipú,  Santa Fe, Alsina, San Juan, Mendoza, Donado, Schweitzer,  Colombres, Martínez de Estrada, Sánchez de Loria, Av. H. Pujato (ex Av. Central), Colectora Av. Circunvalación José M. Rosa, Puente Av. Newbery sobre Av. Circunvalación, Colectora de Av. de Circunvalación Juan Pablo II (lateral Este, S-N), Av. Circunvalación (sentido S-N), Baigorria, Z. Pereyra, Gianneo, Palliere, puente “Automóvil Club Argentino, Palliere, Irma Peirano hasta Castro. VUELTA: Desde Irma Peirano y Castro, por Castro, H. Manzi, Irma Peirano, Palliere, puente “Automóvil Club Argentino”, Palliere, Gianneo, Z. Pereyra, Baigorria, Av. Circunvalación (N-S), Colectora de Av. de Circunvalación José M. Rosa (lateral Oeste), Av. H. Pujato (ex Av. Central E-O), Tarragona, Martínez Estrada, Sánchez de Loria, Schweitzer,  Colombres, Juan José Paso, Donado, Chassaing, Colombres, Mendoza, Lavalle, Córdoba, Balcarce, San Luis, Laprida, Rueda, Av. San Martín, Av. Arijón, Lituania, Av. Ntra. Sra. del Rosario hasta límite del Municipio con Villa Gobernador Gálvez.<br><br>Recorrido de seguridad: de 23:00 a 05:00 hs. IDA: De su recorrido, por Av. H. Pujato (ex Central, sentido Este-Oeste) hasta Lago Puelo (ex Diagonal 1478). VUELTA: Desde Lago Puelo (ex Diagonal 1478) y Av. H. Pujato (ex Av. Central), por Av. H. Pujato ( sentido Oeste-Este ), Colectora de Av. Circunvalación ( lateral Oeste , Norte-Sur), Av. J. Newbery (sentido Este-Oeste), Los Alerces ( ex Pje. 1404, sentido Sur-Norte), Av. H. Pujato (ex Central, sentido Este-Oeste), a su recorrido. Trasbordo gratuito: En el nodo ubicado en Casiano Casas y Baigorria:	Con las líneas 106 banderas Roja y Negra- Todos los días, de 05 a 23 hs.-
;;;;;;;
47;1;142;ROJO NOCTURNO;142I;Pujato y Lº Puelo;Villa Gobernador Gálvez; IDA: De su recorrido por Av. H. Pujato (ex Central, sentido Este-Oeste) hasta Lago Puelo (ex Diagonal 1478). VUELTA: Desde Lago Puelo (ex Diagonal 1478) y Av. H. Pujato (ex Av. Central), por Av. H. Pujato ( sentido Oeste-Este ), Colectora de Av. Circunvalación ( lateral Oeste , Norte-Sur), Av. J. Newbery (sentido Este-Oeste), Los Alerces ( ex Pje. 1404, sentido Sur-Norte), Av. H. Pujato (ex Central, sentido Este-Oeste) a su recorrido.
;;;;;;;
48;1;143;NEGRO;143G;Granadero Baigorria;Ov. Lagos y Gutierrez; IDA: Desde Ovidio Lagos y Gutiérrez, por Ovidio Lagos, Arijón, Rodríguez, Ombú, Bv. Oroño, Batlle y Ordóñez (O-E),  Laprida, Patricios, Arteaga,  Batlle y Ordóñez (O-E), Ayacucho, Av. Uriburu, 1° de Mayo, Amenábar, Ayacucho, Av. 27 de Febrero, 1° de Mayo, San Juan, Corrientes, Santa Fe, San Nicolás, Bordabehere, Av. Alberdi, Bv. Rondeau, hasta Ruta Nacional Nº 11, hacia Municipio de Granadero Baigorria.  VUELTA: Desde Municipio de Granadero Baigorria por Ruta Provincial Nº 11, Bv. Rondeau, Av. Alberdi, Bordabehere, Constitución, San Lorenzo, Vera Mújica, Tucumán, Suipacha, San Lorenzo, Entre Ríos, San Luis, Alem, Uriburu, Ayacucho, Marco Polo-Patricios, Buenos Aires, Batlle y Ordóñez (E-O), Pueyrredón, Arijón, Ovidio Lagos, E. de Lucas, Callao, J. M. Gutiérrez hasta Ovidio Lagos.<BR/>  <BR/> Nuevas paradas: -San Juan y Entre Ríos -Corrientes y Cordoba
;;;;;;;
49;1;143;ROJO;143N;Mini Terminal Bº Rucci;Villa Gobernador Gálvez; IDA: Desde el Municipio de V.G. Gálvez, ingreso a Rosario por Ruta Provincial Nº 21, Limite del Municipio, Ayacucho, Av. Uriburu, 1º de Mayo, Amenábar, Ayacucho, Bv. 27 de Febrero, 1º de Mayo, San Juan, Corrientes, Santa Fe, San Nicolás, Bordabehere, Av. Alberdi, Bv. Rondeau, Gurruchaga, Zelaya, Washington (este-oeste), Av. Casiano Casas, Baigorria, López Buchardo, Paso bajo a nivel de Av. Circunvalación, Blomberg, I. Peirano, Castro hasta Mini-terminal de Barrio Rucci. VUELTA: Desde Mini-terminal de Barrio Rucci, por Castro, H. Manzi, I. Peirano, Palliere, Colectora José M. Rosa, Blomberg, Paso bajo nivel de Av. Circunvalación, López Buchardo, Baigorria, Av. Casiano Casas, Washington, Bv. Rondeau, Av. Alberdi, Bordabehere, Constitución, San Lorenzo, Vera Mújica, Tucumán, Suipacha, San Lorenzo, Entre Ríos, San Luis, Alem, Uriburu, Ayacucho hasta el límite del Municipio y hacia el Municipio de Villa Gobernador Gálvez por Ruta Provincial N° 21.<BR/>  <BR/> Nuevas paradas: -San Juan y Entre Ríos -Corrientes y Cordoba
;;;;;;;
50;1;144;NEGRO;144N;Urquiza y Francia;Grandoli y Gutiérrez; IDA: Desde A. Grandoli y Gutiérrez, por Gutiérrez, Castro Barrros, E. de Luca, A. Grandoli, Berutti, Deán Funes, Necochea, Av. Pellegrini, Alvear, Jujuy, Suipacha, Urquiza hasta Av. Francia. VUELTA: Desde Av. Francia y Urquiza, Av. Francia, Salta, Balcarce, Av. Pellegrini, Colón, Virasoro, Chacabuco, Ayolas, A. Grandoli hasta Gutiérrez.
;;;;;;;
51;1;144;ROJO;144R;Ciudad Universitaria;Urquiza y Francia;IDA: Desde Av. Francia y Urquiza, por Av. Francia, Salta, Balcarce, Av. Pellegrini, Colón, Cerrito hasta Berutti, Ingreso al predio de la Ciudad Universitaria (circuito interno). VUELTA: Desde Egreso del predio de la Ciudad Universitaria, desde Berutti y Viamonte, por Viamonte, Esmeralda, Riobamba, Necochea, Av. Pellegrini, Alvear, Jujuy, Suipacha, Urquiza hasta Av. Francia. Horario durante el ciclo lectivo – Ingreso al predio del Centro Universitario Días: Lunes a Viernes 			Días: Sábados Horario: 07:00 a 24:00 horas 		Horario: 07:00 a 14:00 horas
;;;;;;;
52;1;145;UNICO;145;Ciudad Universitaria;Uruguay y Camini Límite del Municipio; Ingreso desde Barrio Cabin 9- Municipio de Pérez IDA: Desde Uruguay y Camino Límite del Municipio, por Camino Límite del Municipio, Av. Rivarola, Av. Provincias Unidas, Mendoza, San Nicolás, San Luis, Alem, Montevideo, Colón, Cerrito, Berutti hasta Riobamba-CUR.  VUELTA: Desde Berutti y Riobamba, por Riobamba, Necochea, 3 de Febrero, Buenos Aires, Santa Fe, Av. Francia, San Juan, Mendoza, Av. Provincias Unidas, Av. Rivarola, Camino Límite del Municipio hasta Uruguay. Egreso hacia Barrio Cabin 9 Horario durante el ciclo lectivo – Ingreso al predio del Centro Universitario Días: Lunes a Viernes 			Días: Sábados Horario: 07:00 a 24:00 horas 		Horario: 07:00 a 14:00 horas IDA: de su recorrido, Cerrito, ingreso al predio de la Centro Universitario (circuito interno). VUELTA: Egreso del predio de la Centro Universitario, desde Berutti y Viamonte, por Viamonte, Esmeralda, Necochea, a su recorrido.
;;;;;;;
53;1;145;a Perez;145P;Ciudad Universitaria;Pérez - Soldini; Ingreso desde los Municipios de Pérez-Soldini por Ruta Nº 33 IDA: Desde Ruta Nº 33, Av. Pte. Perón, Camino Límite del Municipio, Av. Rivarola, Av. Pcias Unidas, Mendoza, San Nicolas, San Luis, Alem, Montevideo, Colon, Cerrito, Berutti hasta Riobamba- CUR. VUELTA: Desde Berutti y Riobamba, por Riobamba, Necochea, 3 de Febrero, Buenos Aires, Santa Fe, Av. Francia, San Juan, Mendoza, Av. Pcias Unidas, Av. Rivarola, Camino Límite del Municipio, Av. Pte. Perón, Ruta Nº 33. Egreso hacia los Municipios de Pérez-Soldini por Ruta Nº 33. Recorridos en los horarios fuera del ciclo lectivo. Horario durante el ciclo lectivo – Ingreso al predio de la Ciudad Universitaria Días: Lunes a Viernes 			Días: Sábados Horario: 07:00 a 24:00 horas 		Horario: 07:00 a 14:00 horas IDA: de su recorrido, Cerrito, ingreso al predio de la Ciudad Universitaria (circuito interno). VUELTA: Egreso del predio de la Ciudad Universitaria, desde Berutti y Viamonte, por Viamonte, Esmeralda, Necochea, a su recorrido.
;;;;;;;
54;1;146;NEGRO;146N;Ntra. Sra. del Rosario y Lituania;Acevedo y J. B. Justo; IDA: Desde Av. Ntra. Sra. del Rosario y Av. Lituania, por Av. Ntra. Sra. Del Rosario, Cepeda, Anchorena, Castro Barros, Lamadrid, Grandoli, Berutti, Gaboto, Necochea, Av. Pellegrini, Ayacucho, 3 de Febrero, Maipú, Santa Fe, San Nicolás, Av. Alberdi, Jose Ingenieros, Lenzoni, Génova, Antelo, Reconquista, Argerich, J. J. Paso, Venezuela, Schweitzer, Colombres, Ayala Gauna, Tarragona, J. J. Paso, Acevedo hasta J. B. Justo. VUELTA: Desde J. B. Justo y Acevedo por J.B. Justo, Tarragona, Ayala Gauna, Colombres, J. J. Paso, Av. Alberdi, Bordabehere, Salta, Cafferata, Córdoba, Ov. Lagos, San Luis, J. M. de Rosas, Mendoza, Colón, Virasoro, Chacabuco, Ayolas, Abanderado Grandoli, Lamadrid, Pedernera, Av. Ntra. Sra. del Rosario hasta Lituania.
;;;;;;;
55;1;146;ROJO;146R;Isola y Maestros Santafesinos;Pujato y Lº Puelo; IDA: Desde Isola y Maestros Santafesinos, por Isola, Nale Roxlo, S. de Thompson, Grandoli, Berutti, Gálvez, Necochea, Av. Pellegrini, Ayacucho, 3 de Febrero, Maipú, Santa Fe, San Nicolás, Av. Alberdi, Jose Ingenieros, Lenzoni, Génova, Antelo, Reconquista, Argerich, J. J. Paso, Venezuela, Schweitzer, Colombres, Ayala Gauna, Tarragona, Av. H. Pujato (ex Av. Central) hasta Lago Puelo. VUELTA: Desde Av. H. Pujato (ex Av. Central) y Lago Puelo, por Av. H. Pujato (ex Av. Central) (O-E), giro “U” proyección Los Alisos, Av. H. Pujato (ex Av. Central) (E-O), Tarragona, Ayala Gauna, Colombres, J. J. Paso, Av. Alberdi, Bordabehere, Salta, Cafferata, Córdoba, Ov. Lagos, San Luis, J. M. de Rosas, Mendoza, Colón, Virasoro, Chacabuco, Ayolas, Abanderado Grandoli, Gutiérrez, Maestros Santafesinos hasta Isola.
;;;;;;;
56;2;153;NEGRO;153N;Calle 1756 y Calle 1739;Camino Limite del Municipio y Arroyo Ibarlucea; 04:30 a 23:30 hs IDA: Desde Camino Límite del Municipio y Canal arroyo Ibarlucea, por camino límite del Municipio, Morrow, Cullen y Ugarte, Calderón, Robles, Villa del Parque, Cullen y Ugarte, calle 13102, Oncativo, Laguna, F. Grandoli-Palestina, I. Peirano, Palliere, Puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, Gianneo (Norte), Gianneo (Sur), Av. J. Kennedy, Gambartes, Palestina, Camino de los Granaderos, Colectora Juan Pablo II, Salvat, V. Gomez, M. Massa, Mont Cenis, Rotonda Juan Pablo II, Pintor Musto J. Maza, Piaggio, Agrelo, Uriarte, Maza, Av. Sorrento, Víctor Mercante, Olivé, Silva, J.J.Paso, Bv. Avellaneda, Junín, Av. Caseros, Rotonda Ing. Venesia, Av. Francia (sentido Norte-Sur), Brown, Ovidio Lagos, Salta, Entre Ríos, Av. Pellegrini, Provincias Unidas, Neuquén, Méjico, Pampa, Brasil, Cochabamba, Nicaragua, Pasco, Colectora de Av. Circunvalación (lateral Este-sentido Norte-Sur), Prov. De Misiones, Calle 1707, Calle 1756 hasta 1739. VUELTA: Desde Calle 1739 y Calle 1756, por calle 1739, Calle 1746, Prov. de Misiones, Colectora de Av. Circunvalación Juan Pablo II (sentido Sur-Norte), Pasco, Nicaragüa, Cochabamba, Brasil, Forest, Av. Provincias Unidas, Montevideo, Cullen, Av. Pellegrini, Alvear, Montevideo, Corrientes, Urquiza, Callao, Güemes, Av. Francia (sentido Sur-Norte), paso sobre el nivel de Pje. Escalada (puente), Av. Caseros, Ing. Thedy, Vélez Sarsfield, Bv. Avellaneda, Génova, Ferreyra, Av. de Los Trabajadores, Av. Salvador Allende (O-E), J. Hernández, Gurruchaga, Álvarez Thomas, Buchanan (ex Aldrey), Iriarte, Maestro Massa, Ing. Laporte, M. Fierro, Bv. Rondeau (N-S), Tierra del Fuego, Speghazzini, Salvat, Los Cocos, Palestina, Gambartes, Kennedy, Gianneo (Norte), Palliere, Puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, I. Peirano, Palestina-F. Grandoli, Laguna, Oncativo, calle 13102, Cullen y Ugarte, Villa del Parque, Alberini, Calderón, Cullen y Ugarte, Morrow, Camino Límite del Municipio hasta Canal arroyo Ibarlucea. 23:30 a 04:30 hs IDA: Desde Camino Límite del Municipio y Canal arroyo Ibarlucea, por camino límite del Municipio, Morrow, Cullen y Ugarte, Calderón, Robles, Villa del Parque, Cullen y Ugarte, calle 13102, Oncativo, Laguna, F. Grandoli-Palestina, I. Peirano, Palliere, Puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, Gianneo (Norte), Gianneo (Sur), Av. J. Kennedy, Gambartes, Palestina, Camino de los Granaderos, Colectora Juan Pablo II, Salvat, V. Gomez, M. Massa, Mont Cenis, Rotonda Juan Pablo II, Pintor Musto J. Maza, Piaggio, Agrelo, Uriarte, Maza, Av. Sorrento, Víctor Mercante, Olivé, Silva, J.J.Paso, Bv. Avellaneda, Junín, Av. Caseros, Rotonda Ing. Venesia, Av. Francia (sentido Norte-Sur), Brown, Ovidio Lagos, Salta, Entre Ríos, Av. Pellegrini, Provincias Unidas, Neuquén, Guatemala, Av. Mendoza, Colectora de Av. Circunvalación, (lateral Oeste, sentido Norte-Sur), Montevideo,  Donado hasta Forest. VUELTA: Desde Donado y Forest, por Donado, Av. Mendoza, Colombia, Forest, Av. Provincias Unidas, Montevideo, Cullen, Av. Pellegrini, Alvear, Montevideo, Corrientes, Urquiza, Callao, Güemes, Av. Francia (sentido Sur-Norte), paso sobre el nivel de Pje. Escalada (puente), Av. Caseros, Ing. Thedy, Vélez Sarsfield, Bv. Avellaneda, Génova, Ferreyra, Av. de Los Trabajadores, Av. Salvador Allende (O-E), J. Hernández, Gurruchaga, Álvarez Thomas, Buchanan (ex Aldrey), Iriarte, Maestro Massa, Ing. Laporte, M. Fierro, Bv. Rondeau (N-S), Tierra del Fuego, Speghazzini, Salvat, Los Cocos, Palestina, Gambartes, Kennedy, Gianneo (Norte), Palliere, Puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, I. Peirano, Palestina-F. Grandoli, Laguna, Oncativo, calle 13102, Cullen y Ugarte, Villa del Parque, Alberini, Calderón, Cullen y Ugarte, Morrow, Camino Límite del Municipio hasta Canal arroyo Ibarlucea.
;;;;;;;
