"id_ppd";"id_ramal";"temporada";"dia";"direccion";"inicio";"pto1";"pto2";"pto3";"pto4";"pto5";"pto6";"pto7";"pto8";"pto9";"pto10";"pto11";"pto12";"pto13";"pto14";"pto15";"pto16";"pto17";"pto18";"pto19";"pto20";"pto21";"pto22";"pto23";"pto24";"pto25";"fin"
"5742";"45";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Municipo de V.G.G.";"S. Estero y Perón";"Av. Perón y Saladillo ";"Arijon y Andes";"S. Bustam.  y S. Martin";"S. Martin y Uriburu";" S. Martín  y Segui";"1 Junta y 27 de Febrero";"Maipú y Pellegrini";"Maipu y S. Juan";"Rioja y Corrientes";"Alvear y Cordoba";"Santa Fe y Cafferatta";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y P. Unidas";"Mendoza y Donado";"Mendoza               y Wilde";"Calasanz                   C 1635";"Illia                Cruce";"Illia           Hernandez";NULL;NULL;NULL;NULL;NULL;"P.Linea Funes"
"5743";"45";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"P.Linea Funes";"Hernandez           Illia";"Illia  Yrigoyen";"Illia Cruce";"Calasanz                    C 1635";"Mendoza               y Wilde";"Mendoza y Donado";"Mendoza y P. Unidas";"Mendoza y Avellaneda";"Cordoba y Cafferatta";"Cordoba y Oroño";"S. Luis y Laprida";"Laprida y Pellegrini";"Laprida y 27 de Febrero";"S. Martín y Segui";"S. Martin y Uriburu";"S. Martín y Arijón";"Arijón y Lituania";"Pte. Peron y Saladillo";"Perón y S. Estero";NULL;NULL;NULL;NULL;NULL;NULL;"Municipo de V.G.G."
"5744";"45";"INVIERNO 16";"FESTIVO";"VUELTA";"Municipo de V.G.G.";"S. Estero y Perón";"Av. Perón y Saladillo ";"Arijon y Andes";"S. Bustam.  y S. Martin";"S. Martin y Uriburu";" S. Martín  y Segui";"1 Junta y 27 de Febrero";"Maipú y Pellegrini";"Maipu y S. Juan";"Rioja y Corrientes";"Alvear y Cordoba";"Santa Fe y Cafferatta";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y P. Unidas";"Mendoza y Donado";"Mendoza               y Wilde";"Calasanz                   C 1635";"Illia                Cruce";"Illia           Hernandez";NULL;NULL;NULL;NULL;NULL;"P.Linea Funes"
"5745";"45";"INVIERNO 16";"FESTIVO";"IDA";"P.Linea Funes";"Hernandez           Illia";"Illia  Yrigoyen";"Illia Cruce";"Calasanz                    C 1635";"Mendoza               y Wilde";"Mendoza y Donado";"Mendoza y P. Unidas";"Mendoza y Avellaneda";"Cordoba y Cafferatta";"Cordoba y Oroño";"S. Luis y Laprida";"Laprida y Pellegrini";"Laprida y 27 de Febrero";"S. Martín y Segui";"S. Martin y Uriburu";"S. Martín y Arijón";"Arijón y Lituania";"Pte. Peron y Saladillo";"Perón y S. Estero";NULL;NULL;NULL;NULL;NULL;NULL;"Municipo de V.G.G."
"5750";"46";"INVIERNO 16";"FESTIVO";"VUELTA";"Cementerio de Galvez";"Rosario y Mosconi";"Av. S. Martín y Av. Perón";"S. Diego y 17 Octubre";"S. Estero y Av. Perón";"Av. Perón y Saladillo ";"Arijon y Andes";"S. Bustam.  y S. Martin";"S. Martin y Uriburu";" S. Martín  y Segui";"1 Junta y 27 de Febrero";"Maipú y Pellegrini";"Maipu y S. Juan";"Rioja y Corrientes";"Alvear y Cordoba";"Santa Fe y Cafferatta";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y P. Unidas";"Mendoza y Donado";"Donado y Córdoba";"Donado y J.J.Paso";"Loria y J. Neweri";"J. Neweri y Colectora";"Baigorria y Circunval.";NULL;"Palliere y Gianneo"
"5751";"46";"INVIERNO 16";"FESTIVO";"IDA";"Palliere y Gianneo";"Baigorria y Circunv.";"Circunv. Y Colect.";"Mestr. Y Loria";"J.J.Paso y Donado";"Mendoza y Donado";"Mendoza y P. Unidas";"Mendoza y Avellaneda";"Cordoba y Cafferatta";"Cordoba y Oroño";"S. Luis y Laprida";"Laprida y Pellegrini";"Laprida y 27 de Febrero";"S. Martín y Segui";"S. Martin y Uriburu";"S. Martín y Arijón";"Arijón y Lituania";"Av. Peron y A. Saladillo";"Av. Peron y S. Est.";"17 Octubre y S. Diego";"Av. Perón y San Martín";NULL;NULL;NULL;NULL;NULL;"Mosconi y  Rosario"
"5752";"47";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Cementerio V.G.Galvez";"Rosario y Mosconi";"Av. S. Martín y Av. Perón";"S. Diego y 17 Octubre";"S. Estero y Av. Perón";"Av. Perón y Saladillo ";"Arijon y Andes";"S. de Bustamante y San Martín";"San Martín y Uriburu";" San Martín  y Bv. Segui";"1ra Junta y 27 de Febrero";"Maipú y Pellegrini";"Maipu y San Juan";"Rioja y Corrientes";"Alvear y Córdoba";"Santa Fe y Cafferata";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y Pcias. Unidas";"Mendoza y Donado";"Donado y Córdoba";"Donado y J.J.Paso";"Sánchez de Loria y J. Newbery";NULL;"Frecuencia Promedio";NULL;"Duracion"
"5753";"47";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"Mendoza y Pcias. Unidas";"Mendoza y Avellaneda";"Cordoba y Cafferata";"Cordoba y Oroño";"San Luis y Laprida";"Laprida y Pellegrini";"Laprida y 27 de Febrero";"San Martín y Bv. Segui";"San Martín y Uriburu";"San Martín y Arijón";"Arijón y Lituania";"Av. Peron y A. Saladillo";"Av. Peron y S. Est.";"17 Octubre y S. Diego";"Av. Perón y San Martín";"Mosconi y  Rosario";NULL;NULL;"Cementerio V.G.Galvez";NULL;"Frecuencia Promedio";NULL;NULL;NULL;NULL;NULL;"Duracion"
"5754";"46";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Cementerio de Galvez";"Rosario y Mosconi";"Av. S. Martín y Av. Perón";"S. Diego y 17 Octubre";"S. Estero y Av. Perón";"Av. Perón y Saladillo ";"Arijon y Andes";"S. de Bustamante y San Martín";"San Martín y Uriburu";" San Martín  y Bv. Segui";"1ra Junta y 27 de Febrero";"Maipú y Pellegrini";"Maipu y San Juan";"Rioja y Corrientes";"Alvear y Córdoba";"Santa Fe y Cafferata";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y Pcias. Unidas";"Mendoza y Donado";"Donado y Córdoba";"Donado y J.J.Paso";"Sánchez de Loria y J. Newbery";"J. Newbery y Juan Pablo II";"Baigorria y Av. 25 de Mayo";NULL;"Palliere y Gianneo"
"5755";"46";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"Palliere y Gianneo";"Baigorria y Av. 25 de Mayo";"Av. 25 de Mayo y Colectora";"M. Est. y S. de Loria o L. Puelo y Pujato";"J. J. Paso y Donado";"Mendoza y Donado";"Mendoza y Pcias. Unidas";"Mendoza y Avellaneda";"Cordoba y Cafferata";"Cordoba y Oroño";"San Luis y Laprida";"Laprida y Pellegrini";"Laprida y 27 de Febrero";"San Martín y Bv. Segui";"San Martín y Uriburu";"San Martín y Arijón";"Arijón y Lituania";"Av. Peron y A. Saladillo";"Av. Peron y S. Est.";"17 Octubre y S. Diego";"Av. Perón y San Martín";NULL;NULL;NULL;NULL;NULL;"Mosconi y  Rosario"
